,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Soil_Moisture_pct,Fertilizer_kg_ha,Pesticide_Litre_ha,Water_Used_m3,Water_Efficiency_t_per_1000m3,Total_Cost_INR,Yield_Tonnes_Ha,Profit_INR,Disease_Pest_Risk_pct
Farm_Area_Hectares,1.0,0.0072557088571687575,0.03686996267786237,0.0004713191563512549,0.004033198660967693,0.014975044250932424,-0.005206981366837614,0.5760146712124856,0.02893030838683197,0.9622113703927831,0.03020319560672201,0.11524097068022579,0.025963480931798098
Rainfall_mm,0.0072557088571687575,1.0,0.19849183201452558,0.5210685307083671,0.5089405366115273,0.024602294750624365,0.0040580779171005095,0.0022403692958823094,0.05810175696027579,0.013041182238651979,0.03095099355165076,0.10764752863101715,0.6217618552755415
Avg_Temperature_C,0.03686996267786237,0.19849183201452558,1.0,0.13813602613879244,0.08400122632152564,0.015860660681825848,0.006656867072575127,0.02299526934111887,0.00653365609030859,0.04103033265731031,0.009996320546703585,0.009042606450980742,0.24561313710010096
Humidity_pct,0.0004713191563512549,0.5210685307083671,0.13813602613879244,1.0,0.4464703739090701,0.02462293661273303,-0.004027978134427009,-0.00208576989923858,0.02616930149587618,0.006023140103865677,0.012297441843645604,0.06377495967259388,0.5450929489749534
Soil_Moisture_pct,0.004033198660967693,0.5089405366115273,0.08400122632152564,0.4464703739090701,1.0,0.0087818986674462,-0.023159259894999885,0.0031832237147955025,0.027776318959833977,0.0027414634196757134,0.010999346063015867,0.09128109486827561,0.37554718114070745
Fertilizer_kg_ha,0.014975044250932424,0.024602294750624365,0.015860660681825848,0.02462293661273303,0.0087818986674462,1.0,-0.0011777747243974885,0.0008954457861218756,0.005076524721095661,0.14735267951461997,1.771270369608416e-05,-0.07354237085001426,0.01785136649553274
Pesticide_Litre_ha,-0.005206981366837614,0.0040580779171005095,0.006656867072575127,-0.004027978134427009,-0.023159259894999885,-0.0011777747243974885,1.0,0.002177289351771166,-0.006330202761717048,0.04655980121161643,-0.007779075725186487,-0.02570500936905489,-0.4651834079009817
Water_Used_m3,0.5760146712124856,0.0022403692958823094,0.02299526934111887,-0.00208576989923858,0.0031832237147955025,0.0008954457861218756,0.002177289351771166,1.0,0.21708057249489915,0.5759782651160493,0.38629381188867234,0.19027756179048408,0.01148471151886594
Water_Efficiency_t_per_1000m3,0.02893030838683197,0.05810175696027579,0.00653365609030859,0.02616930149587618,0.027776318959833977,0.005076524721095661,-0.006330202761717048,0.21708057249489915,1.0,0.020402492998900953,0.9125675009144051,0.4894873007614452,0.029252918501139483
Total_Cost_INR,0.9622113703927831,0.013041182238651979,0.04103033265731031,0.006023140103865677,0.0027414634196757134,0.14735267951461997,0.04655980121161643,0.5759782651160493,0.020402492998900953,1.0,0.030622289196212706,0.06835598155697745,0.005922402321169295
Yield_Tonnes_Ha,0.03020319560672201,0.03095099355165076,0.009996320546703585,0.012297441843645604,0.010999346063015867,1.771270369608416e-05,-0.007779075725186487,0.38629381188867234,0.9125675009144051,0.030622289196212706,1.0,0.4884660989684228,0.014291575329120737
Profit_INR,0.11524097068022579,0.10764752863101715,0.009042606450980742,0.06377495967259388,0.09128109486827561,-0.07354237085001426,-0.02570500936905489,0.19027756179048408,0.4894873007614452,0.06835598155697745,0.4884660989684228,1.0,0.06758315232306415
Disease_Pest_Risk_pct,0.025963480931798098,0.6217618552755415,0.24561313710010096,0.5450929489749534,0.37554718114070745,0.01785136649553274,-0.4651834079009817,0.01148471151886594,0.029252918501139483,0.005922402321169295,0.014291575329120737,0.06758315232306415,1.0
